event_id,node_id,initial_x,initial_y,final_x,final_y,initial_sf,final_sf,initial_tx_power,final_tx_power,start_time,end_time,energy_J,result,gateway_id
744,35,233.31783751786529,7.2432609471491105,477.3940258665018,234.17622105729762,8,8,14.0,2.0,46.536252965042806,46.58028496504281,6.978601705044775e-05,Success,0.0
753,19,682.8828078863926,420.1614606558607,989.5880895769619,369.8691461701651,7,7,14.0,2.0,46.71679080347938,46.76082280347938,6.978601705044775e-05,Success,0.0
623,59,797.4839183499265,836.5612396019524,301.5332370248419,644.4914417975423,7,7,14.0,2.0,47.55250587564207,47.59653787564207,6.978601705044775e-05,Success,0.0
172,86,888.4598474308332,26.872847636924103,568.7289452237244,646.1675252144884,9,7,14.0,2.0,48.33235555710642,48.46752355710642,0.003395266651742868,Success,0.0
225,7,413.8863507024901,557.4789188297801,285.0109205368897,874.63504466141,12,12,14.0,14.0,48.476584776659024,49.394088776659025,0.023046658484557652,CollisionLoss,
504,96,262.1546359122766,948.8990616339032,486.8000934979364,396.3277240946427,11,7,14.0,2.0,48.72448282973561,48.76851482973561,6.978601705044775e-05,Success,0.0
375,61,175.13669189649295,44.95267413655013,528.7774996118269,225.03295121002066,8,7,14.0,2.0,48.734322095677854,48.869490095677854,0.003395266651742868,Success,0.0
104,52,427.60563405264304,705.0635727281497,231.98309471824751,555.4765712570555,11,7,14.0,2.0,48.85243713419484,49.39310913419484,0.013581066606971472,Success,0.0
484,10,409.55835078024563,825.5242209100348,62.07081663543479,199.12869639055685,11,7,14.0,2.0,49.16068024745276,50.07818424745276,0.023046658484557652,Success,0.0
496,50,450.0457650467904,315.7417983970838,723.9238944697447,109.84854237180308,12,7,14.0,2.0,49.55581003738744,49.59984203738744,6.978601705044775e-05,Success,0.0
212,69,298.8064827085276,424.0971471093351,74.87497766510009,375.8162028066189,7,7,14.0,2.0,49.99209826626386,50.03613026626386,6.978601705044775e-05,Success,0.0
640,0,773.7314259972911,134.60983038062957,557.2439458206514,905.6951461330638,12,7,14.0,2.0,50.0,50.0,0.0,Mobility,
641,1,776.1946799603885,545.0403966525723,527.4009582863403,26.43931678403588,10,7,14.0,2.0,50.0,50.0,0.0,Mobility,
642,2,259.47012222159094,294.4850475866397,888.5829627519392,277.2999247190604,8,7,14.0,2.0,50.0,50.0,0.0,Mobility,
643,3,662.2320924192098,742.5082597009213,405.86554176915047,25.995758471503372,8,7,14.0,2.0,50.0,50.0,0.0,Mobility,
644,4,200.3143524668638,547.6740718581926,824.7001648733393,905.1482745880496,11,8,14.0,2.0,50.0,50.0,0.0,Mobility,
645,5,487.7826735185918,627.9172413910279,883.2170799104887,206.2643000221478,9,7,14.0,2.0,50.0,50.0,0.0,Mobility,
646,6,271.5801938176086,224.73927944303128,608.8338356026406,546.2575274212788,7,7,14.0,2.0,50.0,50.0,0.0,Mobility,
647,7,413.8863507024901,557.4789188297801,285.0109205368897,874.63504466141,12,12,14.0,14.0,50.0,50.0,0.0,Mobility,
648,8,627.6210930048293,240.38279900982118,393.56037911502574,178.41085633198117,10,8,14.0,2.0,50.0,50.0,0.0,Mobility,
649,9,754.8956959006705,813.5146313068007,137.11838847362588,756.6237977592423,10,7,14.0,2.0,50.0,50.0,0.0,Mobility,
651,11,367.5614834868083,555.887077305947,896.0185603390928,482.87807862915554,10,7,14.0,2.0,50.0,50.0,0.0,Mobility,
652,12,187.22867251108545,327.2507050251937,652.4969137013088,757.0786092447906,8,8,14.0,2.0,50.0,50.0,0.0,Mobility,
653,13,107.25204817907886,662.2130510787184,378.87060290420203,420.8377842912909,7,7,14.0,2.0,50.0,50.0,0.0,Mobility,
654,14,810.673805522061,176.74006595212134,87.80216976243449,33.9517613364958,9,7,14.0,2.0,50.0,50.0,0.0,Mobility,
655,15,191.57239344257582,101.848181471766,101.91906617854818,185.3099236908966,12,7,14.0,2.0,50.0,50.0,0.0,Mobility,
656,16,868.9669577707458,855.4142539588415,255.617213958399,698.3874993530745,10,8,14.0,2.0,50.0,50.0,0.0,Mobility,
